price_per_month,county,space_type,months_since_listed,min_size_sqft,years_since_built
783.0,Utah County,Office,2,522,38.0
2356.3799999999997,Utah County,Office,2,2014,38.0
2052.0,Utah County,Office,1,1425,37.0
3513.0,Utah County,Office,0,2342,24.0
2907.0,Utah County,Industrial,0,1710,6.0
2380.0,Utah County,Industrial,0,1400,6.0
3160.0,Utah County,Office,0,1580,6.0
6333.679999999999,Utah County,Office,0,3862,23.0
6841.6,Utah County,Industrial,1,4276,-1.0
3782.4,Utah County,Industrial,1,2364,-1.0
3654.4,Utah County,Industrial,1,2284,-1.0
3611.2000000000003,Utah County,Industrial,1,2257,-1.0
8393.6,Utah County,Industrial,1,5246,-1.0
3670.4,Utah County,Industrial,1,2294,-1.0
3660.8,Utah County,Industrial,1,2288,-1.0
6588.8,Utah County,Industrial,1,4118,-1.0
30000.0,Utah County,Retail,1,30000,28.0
2045.75,Utah County,Retail,2,1169,25.0
18780.649999999998,Utah County,Industrial,2,16331,13.0
6500.0,Utah County,Industrial,3,5000,9.0
4946.8,Utah County,Industrial,3,3320,16.0
4676.8,Utah County,Office,4,2960,19.0
2505.0,Utah County,Retail,1,1500,28.0
12043.5,Salt Lake County,Industrial,2,11470,7.0
6357.5,Salt Lake County,Industrial,5,5086,18.0
5218.75,Salt Lake County,Industrial,5,4175,3.0
7001.28,Salt Lake County,Industrial,8,6864,5.0
1657.6,Davis County,Office/Retail,8,1184,19.0
1959.9999999999998,Davis County,Office/Retail,8,1400,19.0
2586.88,Davis County,Office/Medical,8,1504,19.0
1792.9999999999998,Davis County,Office,1,1100,24.0
413.0,Davis County,Office,2,295,61.0
8120.0,Davis County,Office,12,4640,15.0
5095.5,Davis County,Office,4,3225,17.0
8750.0,Davis County,Retail,7,7000,51.0
1440.0,Box Elder County,Office/Retail,17,1200,54.0
5545.0,Iron County,Retail,0,2218,46.0
811.2,Iron County,Office,1,780,79.0
877.76,Iron County,Office,1,844,79.0
4000.0,Iron County,Retail,2,3200,62.0
1350.0,Iron County,Retail,4,1000,18.0
2332.0,Iron County,Retail,5,2332,71.0
2116.0,Iron County,Retail,6,920,-1.0
2267.7999999999997,Iron County,Retail,6,986,-1.0
2083.7999999999997,Iron County,Retail,6,906,-1.0
6180.0,Iron County,Retail,6,2060,-1.0
3450.0,Iron County,Retail,6,1150,-1.0
2521.8,Iron County,Retail,6,934,-1.0
3245.4,Iron County,Retail,6,1202,-1.0
2556.9,Iron County,Retail,6,947,-1.0
6457.5,Iron County,Flex,6,6150,16.0
1369.5,Iron County,Office,0,1245,27.0
729.3000000000001,Iron County,Retail,0,663,27.0
4598.4,Davis County,Office,1,2395,24.0
2102.4,Davis County,Office,1,1440,26.0
3978.75,Davis County,Retail,1,3183,13.0
1440.0,Davis County,Flex,2,1200,18.0
11994.52,Davis County,Retail,6,19346,24.0
4608.74,Davis County,Retail,3,1978,74.0
6360.900000000001,Davis County,Office/Medical,11,2730,0.0
8252.86,Davis County,Office/Medical,11,3542,0.0
3253.8,Salt Lake County,Office,4,1595,43.0
8665.92,Salt Lake County,Office,4,4248,43.0
2664.2400000000002,Salt Lake County,Office,4,1306,43.0
12552.12,Salt Lake County,Office,4,6153,43.0
37286.0,Salt Lake County,Office,5,37286,31.0
7775.11,Salt Lake County,Office,15,3583,40.0
3684.66,Salt Lake County,Office,15,1698,40.0
6199.69,Salt Lake County,Office,15,2857,40.0
17902.5,Salt Lake County,Office,15,8250,40.0
10645.77,Salt Lake County,Office,7,4569,28.0
9364.27,Salt Lake County,Office,7,4019,28.0
15424.6,Salt Lake County,Office,7,6620,28.0
7793.85,Salt Lake County,Office,11,3345,27.0
11650.0,Salt Lake County,Office,11,5000,27.0
5160.95,Salt Lake County,Office,11,2215,27.0
34089.25,Salt Lake County,Office,0,15425,18.0
7544.94,Salt Lake County,Office,0,3414,18.0
11947.26,Salt Lake County,Office,0,5406,18.0
7063.16,Salt Lake County,Office,0,3196,18.0
10000.25,Salt Lake County,Office,0,4525,18.0
19474.85,Salt Lake County,Office,0,7349,18.0
42038.62,Salt Lake County,Office,0,19022,18.0
42038.62,Salt Lake County,Office,0,19022,18.0
16504.03,Salt Lake County,Office,0,7207,18.0
42173.43,Salt Lake County,Office,0,19083,18.0
43030.909999999996,Salt Lake County,Office,0,19471,18.0
42173.43,Salt Lake County,Office,0,19083,18.0
52445.58,Salt Lake County,Office,0,22902,18.0
11450.0,Salt Lake County,Office,0,5000,18.0
9530.0,Salt Lake County,Flex,0,9530,21.0
2948.4,Salt Lake County,Office,1,1820,27.0
7018.0,Salt Lake County,Retail,2,2900,26.0
2596.0,Salt Lake County,Industrial,1,2200,27.0
5016.96,Salt Lake County,Office,5,2613,17.0
10493.84,Salt Lake County,Office,5,5354,17.0
18987.5,Salt Lake County,Office,2,8750,17.0
1591.62,Salt Lake County,Retail,3,647,5.0
2857.5299999999997,Salt Lake County,Office,4,1293,17.0
11814.66,Salt Lake County,Office,4,5346,17.0
12024.0,Salt Lake County,Office,4,7200,16.0
7320.0,Salt Lake County,Office,4,4000,16.0
16445.35,Salt Lake County,Office,4,7649,7.0
4375.0,Salt Lake County,Office,5,2500,21.0
3500.0,Salt Lake County,Office,5,2000,21.0
3500.0,Salt Lake County,Office,5,2000,21.0
499.7,Salt Lake County,Office,1,190,22.0
6009.5,Salt Lake County,Office,1,3434,22.0
1392.3,Salt Lake County,Office,1,1190,49.0
10013.12,Salt Lake County,Office,7,4814,8.0
25941.760000000002,Salt Lake County,Office,7,12472,8.0
51941.76,Salt Lake County,Office,7,24972,8.0
51941.76,Salt Lake County,Office,7,24972,8.0
3000.0,Box Elder County,Industrial,2,3000,2.0
3000.0,Box Elder County,Industrial,2,3000,2.0
3000.0,Box Elder County,Industrial,2,3000,2.0
3000.0,Box Elder County,Industrial,2,3000,2.0
3000.0,Box Elder County,Industrial,2,3000,2.0
34814.119999999995,Davis County,Office,0,14386,14.0
11934.0,Wasatch County,Industrial,3,10200,26.0
18468.85,,Medical,1,8065,-1.0
4844.28,,Office,1,1659,0.0
5500.0,Washington County,Industrial,0,5000,2.0
5500.0,Washington County,Industrial,0,5000,2.0
4620.0,Washington County,Industrial,0,4200,0.0
4620.0,Washington County,Industrial,0,4200,0.0
2286.0,Washington County,Industrial,0,1800,14.0
2286.0,Washington County,Industrial,0,1800,14.0
2400.0,Washington County,Industrial,1,2500,27.0
14004.320000000002,Washington County,Retail,3,6424,20.0
7036.700000000001,Washington County,Industrial,5,6397,-1.0
6880.500000000001,Washington County,Industrial,5,6255,-1.0
6880.500000000001,Washington County,Industrial,5,6255,-1.0
6880.500000000001,Washington County,Industrial,5,6255,-1.0
6880.500000000001,Washington County,Industrial,5,6255,-1.0
6880.500000000001,Washington County,Industrial,5,6255,-1.0
6968.500000000001,Washington County,Industrial,5,6335,-1.0
7036.700000000001,Washington County,Industrial,5,6397,-1.0
6880.500000000001,Washington County,Industrial,5,6255,-1.0
6880.500000000001,Washington County,Industrial,5,6255,-1.0
6880.500000000001,Washington County,Industrial,5,6255,-1.0
6880.500000000001,Washington County,Industrial,5,6255,-1.0
6880.500000000001,Washington County,Industrial,5,6255,-1.0
6968.500000000001,Washington County,Industrial,5,6335,-1.0
6300.0,Washington County,Industrial,10,6000,0.0
1440.0,Cache County,Industrial,6,1600,0.0
11381.3,Davis County,Office,7,8015,83.0
5298.0199999999995,Davis County,Office,7,3731,83.0
6323.259999999999,Davis County,Office,7,4453,83.0
1855.9399999999998,Davis County,Office,7,1307,83.0
3587.9999999999995,Davis County,Retail,0,2600,16.0
4416.0,Davis County,Retail,0,3200,16.0
1150.9199999999998,Davis County,Office,1,834,32.0
1290.0,Davis County,Office/Retail,15,1000,48.0
1390.0,Davis County,Office/Retail,15,1000,48.0
1078.48,Davis County,Office,15,884,48.0
1290.0,Davis County,Office/Medical,15,1000,48.0
508.26,Davis County,Office/Medical,15,394,48.0
3648.0,Davis County,Flex,9,1900,5.0
4992.0,Davis County,Office/Medical,9,2600,5.0
4224.0,Davis County,Office/Medical,9,2200,5.0
8702.720000000001,Davis County,Office,1,4184,17.0
3854.2400000000002,Davis County,Office,1,1853,17.0
8394.880000000001,Davis County,Office,1,4036,17.0
17228.16,Davis County,Office,1,8973,17.0
2178.0,Davis County,Office,11,1452,25.0
4353.0,Davis County,Office,11,2902,25.0
2394.0,Utah County,Office,0,1400,17.0
4500.0,Utah County,Industrial,0,3750,30.0
3206.75,Utah County,Industrial,0,2525,6.0
5520.0,Utah County,Industrial,0,4800,6.0
5356.08,Utah County,Office,1,2076,9.0
18002.32,Utah County,Office,1,7259,9.0
10825.2,Utah County,Office,1,4365,9.0
18332.16,Utah County,Office,1,7392,9.0
27887.6,Utah County,Office,1,11245,9.0
16144.8,Utah County,Office,1,6510,9.0
14257.27,Utah County,Office,1,6119,16.0
3474.03,Utah County,Office,1,1491,16.0
23008.75,Utah County,Office,1,9875,16.0
73966.16,Utah County,Office,1,30314,16.0
12929.17,Utah County,Office,1,5549,16.0
25073.13,Utah County,Office,1,10761,16.0
15359.36,Utah County,Office,1,6592,16.0
16258.74,Utah County,Office,1,6978,16.0
61793.93,Utah County,Office,1,26521,16.0
29354.399999999998,Utah County,Flex,1,24462,19.0
3585.6299999999997,Utah County,Office,0,2543,17.0
6192.72,Utah County,Office,2,2867,9.0
4753.0,Utah County,Office,2,2425,16.0
28237.8,Utah County,Industrial,3,29724,2.0
4326.299999999999,Utah County,Office,0,3135,16.0
5921.4,Utah County,Office,0,4170,16.0
11424.0,Utah County,Office,4,5600,6.0
26033.09,Utah County,Office,5,11173,13.0
24533.96,Utah County,Office,5,10138,6.0
10023.64,Utah County,Office,5,4142,6.0
19920.91,Utah County,Office,4,11129,6.0
3512.5,Utah County,Office,4,1405,6.0
27372.8,Utah County,Office,7,13160,8.0
9659.6,Utah County,Office,10,3895,8.0
17220.0,Utah County,Office,10,7000,8.0
990.0,Utah County,Office,5,180,6.0
3564.0000000000005,Utah County,Office,5,1200,6.0
3296.4,Utah County,Office,5,1230,6.0
3806.4,Utah County,Office,5,1464,6.0
1662.72,Cache County,Office,0,866,55.0
4455.5,Cache County,Office,0,3350,9.0
2700.0,Cache County,Industrial,0,3000,9.0
3888.0000000000005,Cache County,Office,0,3600,9.0
7906.2699999999995,Cache County,Office,1,3973,2.0
3263.68,Cache County,Industrial,1,3472,16.0
400.0,Cache County,Industrial,1,5000,0.0
2400.0,Cache County,Office,2,800,44.0
43450.0,Cache County,Industrial,3,55000,31.0
723.0,Cache County,Office/Retail,1,482,95.0
33750.0,Cache County,Industrial,7,37500,0.0
11250.0,Cache County,Industrial,7,12500,0.0
13500.0,Cache County,Industrial,7,15000,0.0
39000.0,Cache County,Industrial,8,60000,22.0
6624.0,Cache County,Retail,0,7200,30.0
3601.44,Cache County,Office/Retail,1,1968,0.0
3660.0,Cache County,Office/Retail,1,2000,0.0
4392.0,Cache County,Office/Retail,1,2400,0.0
1250.01,Cache County,Retail,0,969,18.0
2018.8500000000001,Cache County,Retail,0,1565,18.0
2737.5,Cache County,Retail,26,1825,46.0
3294.0,Cache County,Office/Retail,3,1350,36.0
1205.4,Cache County,Office/Retail,3,820,36.0
1249.5,Cache County,Office/Retail,3,850,36.0
861.0,Cache County,Industrial,2,1148,48.0
636.75,Cache County,Industrial,2,849,51.0
960.75,Cache County,Industrial,2,1281,51.0
6300.0,Cache County,Industrial,2,9000,51.0
4560.0,Cache County,Flex,7,4800,21.0
2160.0,Cache County,Industrial,7,2400,21.0
3337.5,Cache County,Office,1,2225,59.0
475.02,Cache County,Office,0,406,25.0
7492.75,Cache County,Retail,4,3485,36.0
1197.0,Cache County,Office,4,700,36.0
3795.75,Salt Lake County,Retail,8,1687,7.0
679.0000000000001,Utah County,Industrial,2,9700,24.0
3945.76,Salt Lake County,Office/Retail,0,1897,0.0
39617.600000000006,Salt Lake County,Industrial,0,36016,28.0
4660.0,Salt Lake County,Retail,0,2330,4.0
2548.2599999999998,Salt Lake County,Office/Retail,0,2178,4.0
2691.0,Salt Lake County,Office/Retail,0,2300,4.0
6760.0,Salt Lake County,Industrial,1,6760,28.0
3660.0,Salt Lake County,Retail,2,2000,46.0
4343.5,Salt Lake County,Flex,2,2482,28.0
2800.0,Salt Lake County,Office/Retail,2,1400,69.0
3000.0,Salt Lake County,Retail,1,1500,18.0
12771.0,Salt Lake County,Retail,3,5676,45.0
2756.25,Salt Lake County,Office/Medical,1,1225,26.0
7650.160000000001,Salt Lake County,Office/Retail,4,5752,51.0
4000.7999999999997,Salt Lake County,Industrial,5,3334,8.0
7725.0,Salt Lake County,Flex,7,5150,0.0
7725.0,Salt Lake County,Flex,7,5150,0.0
6510.0,Salt Lake County,Flex,8,4650,0.0
30395.04,Salt Lake County,Office,8,14613,17.0
6027.0,Salt Lake County,Flex,9,3444,27.0
6027.0,Salt Lake County,Office,9,3444,27.0
3914.3700000000003,Salt Lake County,Office,9,2139,27.0
2000.0,Salt Lake County,Industrial,8,2000,46.0
11357.19,Salt Lake County,Office,49,5139,31.0
3040.96,Salt Lake County,Office,49,1376,31.0
6602.91,Salt Lake County,Office/Retail,2,2473,-1.0
12290.01,Salt Lake County,Office,2,4603,-1.0
2600.0,Sanpete County,Flex,0,4000,2.0
13541.76,Salt Lake County,Office,2,7053,36.0
6216.96,Salt Lake County,Office,2,3238,36.0
28176.84,Salt Lake County,Office,3,11454,6.0
182233.35,Cache County,Flex,0,280359,9.0
18900.0,Cache County,Industrial,8,21000,0.0
2295.0,Weber County,Flex,1,2700,63.0
625.0,Davis County,Industrial,0,6250,55.0
4167.450000000001,Davis County,Flex,1,3087,17.0
9616.25,Davis County,Flex,1,7693,17.0
2688.24,Davis County,Office,1,1948,7.0
1804.0,Davis County,Office/Retail,17,1804,77.0
9960.0,Davis County,Industrial,5,8300,17.0
1380.0,Weber County,Office/Retail,7,1200,21.0
1161.25,Weber County,Office,8,929,52.0
4030.0,Weber County,Office,8,3100,52.0
1501.1999999999998,Weber County,Office/Retail,8,1080,52.0
1085.8,Weber County,Office,8,890,52.0
243.00000000000003,Weber County,Office,8,180,52.0
693.4499999999999,Weber County,Office,8,603,52.0
1007.4,Weber County,Office,8,876,52.0
2376.0,Weber County,Office/Retail,0,1584,22.0
4520.0,Weber County,Office/Retail,0,4520,122.0
2605.0,Weber County,Office/Retail,0,2605,122.0
2064.0,Weber County,Office/Retail,0,2064,122.0
5740.0,Weber County,Office/Retail,0,5740,28.0
1154.0,Weber County,Office/Retail,0,1154,28.0
2145.0,Weber County,Office/Retail,0,2145,28.0
10500.0,Weber County,Industrial,0,14000,59.0
7920.0,Weber County,Retail,0,5280,55.0
4005.0,Weber County,Retail,0,1500,38.0
2181.36,Weber County,Retail,1,1192,66.0
66.96,Weber County,Office,1,216,66.0
1440.21,Weber County,Retail,1,787,66.0
215.45,Weber County,Office,1,695,66.0
199.95,Weber County,Office,1,645,66.0
231.57,Weber County,Office,1,747,66.0
226.3,Weber County,Office,1,730,66.0
103.23,Weber County,Office,1,333,66.0
64.17,Weber County,Office,1,207,66.0
84.32,Weber County,Office,1,272,66.0
50.53,Weber County,Office,1,163,66.0
60.76,Weber County,Office,1,196,66.0
60.76,Weber County,Office,1,196,66.0
82.46,Weber County,Office,1,266,66.0
11895.0,Weber County,Retail,1,6500,97.0
8018.72,Weber County,Retail,0,8716,122.0
6849.0,Weber County,Office,2,4566,41.0
1716.0,Weber County,Office,2,1144,41.0
10010.0,Weber County,Flex,3,7000,44.0
15894.75,Weber County,Industrial,3,21193,27.0
1475.0,Weber County,Office/Retail,1,1475,58.0
1700.0,Weber County,Office/Retail,1,1700,58.0
1638.4999999999998,Weber County,Office,6,1450,68.0
8054.0,Weber County,Office,7,4027,26.0
6500.0,Weber County,Retail,7,6500,45.0
35625.0,Weber County,Retail,7,9500,45.0
1000.0,Weber County,Retail,7,1000,45.0
3600.0,Weber County,Retail,7,3600,45.0
3600.0,Weber County,Retail,7,3600,45.0
1496.3999999999999,Weber County,Office,16,870,34.0
14515.0,Weber County,Industrial,10,11612,5.0
5352.96,Weber County,Retail,10,2624,78.0
3881.08,Weber County,Retail,11,2324,54.0
2374.9,Weber County,Industrial,11,4318,58.0
1329.6599999999999,Weber County,Office,10,1602,52.0
5753.5599999999995,Weber County,Office,10,6932,52.0
1173.7,Weber County,Office,12,970,32.0
7131.0,Weber County,Office,12,7131,43.0
2737.75,Weber County,Retail,12,1175,24.0
3269.7,Weber County,Office,14,1730,17.0
14100.0,Weber County,Office,14,7500,24.0
7665.0,Weber County,Flex,2,7300,32.0
7137.599999999999,Weber County,Flex,3,5948,16.0
3653.7599999999998,Weber County,Office,17,1903,24.0
30069.0,Weber County,Industrial,18,77100,47.0
8056.0,Weber County,Office,24,4028,31.0
13200.0,Weber County,Office,22,6600,16.0
2042.5,Weber County,Office,6,1634,121.0
2325.0,Weber County,Office/Retail,6,1860,121.0
2841.25,Weber County,Office,6,2273,121.0
1780.0,Weber County,Flex,2,2000,45.0
3674.0,Weber County,Retail,2,2200,94.0
4743.24,Weber County,Office,12,2523,17.0
6282.96,Weber County,Office,12,3342,17.0
4495.08,Weber County,Office,12,2391,17.0
3252.3999999999996,Weber County,Office,12,1730,17.0
4683.08,Weber County,Office,12,2491,17.0
2850.0,Weber County,Office,27,3800,48.0
6386.25,Weber County,Industrial,20,9825,28.0
701.5,Weber County,Retail,1,575,114.0
878.4,Weber County,Office,1,720,114.0
19368.18,Weber County,Office,36,16554,35.0
19368.18,Weber County,Office,36,16554,35.0
529.66,Weber County,Office,43,373,115.0
2264.9,Weber County,Office,43,1595,115.0
16600.0,Weber County,Office,8,10000,23.0
5210.9400000000005,Weber County,Office,8,3918,104.0
24816.47,Weber County,Office,8,18659,104.0
3900.0,Weber County,Retail,17,1300,0.0
506.52000000000004,Weber County,Office,31,469,42.0
448.20000000000005,Weber County,Office,31,415,42.0
1477.44,Weber County,Office,31,1368,42.0
500.04,Weber County,Office,31,463,42.0
296.40000000000003,Weber County,Industrial,26,570,43.0
248.64,Weber County,Industrial,26,296,43.0
743.04,Weber County,Industrial,26,864,43.0
1184.04,Weber County,Office,8,1287,110.0
1475.0,Weber County,Office,8,1475,110.0
3704.05,Weber County,Office,8,2785,110.0
306.53999999999996,Weber County,Office,30,262,45.0
1405.1699999999998,Weber County,Office,30,1201,45.0
2873.52,Weber County,Office,10,2456,26.0
1657.5,Weber County,Retail,0,1105,22.0
1700.16,Weber County,Industrial,19,1848,48.0
3466.0,Weber County,Office,15,1733,16.0
16542.0,Weber County,Office,15,8271,16.0
5490.0,Weber County,Retail,0,3000,16.0
2785.26,Weber County,Retail,0,1522,16.0
2153.9100000000003,Weber County,Retail,0,1177,16.0
1928.75,Weber County,Office,14,1543,24.0
1922.8600000000001,Weber County,Retail,8,1217,28.0
54577.1,Weber County,Office,31,30490,30.0
90054.90000000001,Weber County,Office,31,50310,30.0
1713.0400000000002,Weber County,Office,0,1288,17.0
1416.87,Weber County,Office/Medical,2,1211,21.0
3676.25,Weber County,Office,20,2941,44.0
9905.84,Utah County,Office,0,7448,64.0
7290.25,Utah County,Retail,2,2651,34.0
1336.2,Utah County,Office,1,1020,22.0
4656.349999999999,Utah County,Office,1,4049,36.0
1897.28,Utah County,Industrial,1,1232,30.0
11200.000000000002,Utah County,Office,3,10000,36.0
10327.45,Utah County,Office,3,7765,32.0
5373.200000000001,Utah County,Office,4,4040,23.0
7600.0,Utah County,Industrial,5,7600,25.0
12210.0,Utah County,Office,5,8250,26.0
6326.31,Utah County,Office,9,3457,26.0
6328.0,Summit County,Office,0,1582,58.0
18498.12,Summit County,Office,0,4436,58.0
5984.01,Summit County,Retail,1,1797,31.0
2681.25,Summit County,Office/Retail,1,715,23.0
3341.25,Summit County,Office/Retail,1,891,23.0
3802.5,Summit County,Office/Retail,1,1014,23.0
3802.5,Summit County,Office/Retail,1,1014,23.0
5328.75,Summit County,Office/Retail,1,1421,23.0
3517.44,Summit County,Office,1,1832,39.0
7689.0,Summit County,Flex,2,3300,3.0
8388.0,Summit County,Flex,2,3600,5.0
11417.56,Summit County,Flex,0,4718,7.0
5181.22,Summit County,Office,0,2141,7.0
5626.5,Summit County,Office,0,2325,7.0
2198.0,Summit County,Office,4,700,5.0
14520.0,Summit County,Office,0,6000,19.0
7644.0,Summit County,Retail,5,2100,30.0
3270.54,Summit County,Office/Retail,5,1198,30.0
16182.0,Summit County,Retail,5,2900,126.0
5625.0,Summit County,Office,6,1500,99.0
2082.5,Summit County,Office,6,245,5.0
1360.0,Summit County,Office,6,160,5.0
4008.0,Summit County,Flex,4,2400,15.0
3340.0,Summit County,Flex,4,2000,15.0
3000.0,Summit County,Medical,0,1000,24.0
1548.0,Summit County,Office,0,516,24.0
38658.93,Summit County,Flex,8,14479,-1.0
31137.54,Summit County,Flex,8,11662,-1.0
6932.0,Summit County,Office,1,1733,29.0
15040.72,Summit County,Office,1,3284,29.0
11486.64,Summit County,Office,1,2508,29.0
3731.0,Summit County,Office,1,1066,29.0
5984.01,Summit County,Office,1,1797,29.0
7765.56,Summit County,Office,1,2332,29.0
4674.92,Summit County,Office,1,1601,29.0
7140.0,Utah County,Office/Medical,1,3000,-2.0
5950.0,Utah County,Office/Medical,1,2500,-2.0
5950.0,Utah County,Office/Medical,1,2500,-2.0
280613.89999999997,Utah County,Industrial,6,330134,-2.0
12165.0,Utah County,Retail,9,8110,0.0
7718.75,Utah County,Industrial,0,8125,6.0
3283.0,Utah County,Office,1,1876,16.0
3404.0,Utah County,Office,2,1702,5.0
15831.75,Utah County,Office,3,5757,1.0
14690.5,Utah County,Office,3,5342,1.0
15559.5,Utah County,Office,3,5658,1.0
18887.0,Utah County,Office,3,6868,1.0
46543.75,Utah County,Office,3,16925,1.0
80465.0,Utah County,Office,3,29260,1.0
80465.0,Utah County,Office,3,29260,1.0
8610.0,Utah County,Office,1,3500,5.0
18651.72,Utah County,Office,1,7582,5.0
19040.0,Utah County,Office,17,8000,3.0
7927.959999999999,Utah County,Office,6,4217,4.0
5194.44,Utah County,Office,6,2763,8.0
13013.359999999999,Utah County,Office,6,6922,8.0
1437.0,Utah County,Office,2,479,5.0
2880.0,Utah County,Office,2,960,5.0
2601.0,Utah County,Office,2,867,5.0
4310.84,Utah County,Office,6,2293,4.0
3985.6,Utah County,Office,6,2120,4.0
5042.16,Utah County,Office,6,2682,4.0
17074.86,Utah County,Office,6,6941,3.0
26408.1,Utah County,Office,6,10735,3.0
3198.0,Utah County,Office,10,1066,1.0
2838.0,Utah County,Office,10,946,1.0
4260.0,Utah County,Office,10,1420,1.0
8580.0,Utah County,Office,10,2860,1.0
40108.200000000004,Utah County,Office,2,19470,5.0
15909.380000000001,Utah County,Office,2,7723,5.0
3714.75,Utah County,Office,7,1651,0.0
5220.320000000001,Utah County,Industrial,8,3304,0.0
5515.780000000001,Utah County,Industrial,8,3491,0.0
5515.780000000001,Utah County,Industrial,8,3491,0.0
5536.320000000001,Utah County,Industrial,8,3504,0.0
5536.320000000001,Utah County,Industrial,8,3504,0.0
5515.780000000001,Utah County,Industrial,8,3491,0.0
4529.860000000001,Utah County,Industrial,8,2867,0.0
4534.6,Utah County,Industrial,8,2870,0.0
4514.06,Utah County,Industrial,8,2857,0.0
4563.04,Utah County,Industrial,8,2888,0.0
4570.9400000000005,Utah County,Industrial,8,2893,0.0
4572.52,Utah County,Industrial,8,2894,0.0
4872.72,Utah County,Industrial,8,3084,0.0
5536.320000000001,Utah County,Industrial,8,3504,0.0
5515.780000000001,Utah County,Industrial,8,3491,0.0
5536.320000000001,Utah County,Industrial,8,3504,0.0
5536.320000000001,Utah County,Industrial,8,3504,0.0
5068.64,Utah County,Industrial,8,3208,0.0
7956.88,Utah County,Flex,8,5036,0.0
11391.800000000001,Utah County,Flex,8,7210,0.0
3192.0,Utah County,Flex,10,2128,0.0
3150.0,Utah County,Flex,10,2100,0.0
3150.0,Utah County,Flex,10,2100,0.0
3150.0,Utah County,Flex,10,2100,0.0
3150.0,Utah County,Flex,10,2100,0.0
3536.0,Weber County,Office/Retail,1,1700,10.0
1442.48,Weber County,Office,5,988,9.0
3059.0,Carbon County,Retail,2,2300,44.0
1101.0,Cache County,Office/Retail,2,734,66.0
1652.5,Cache County,Office,6,1322,22.0
9004.5,Cache County,Office,6,6003,22.0
6163.5,Cache County,Office,6,4109,22.0
4743.0,Cache County,Office,6,3162,22.0
7578.0,Utah County,Office,0,3789,136.0
3240.0,Utah County,Office,0,1620,136.0
2898.0,Utah County,Office,0,1449,136.0
5589.12,Utah County,Office,0,2911,136.0
5696.639999999999,Utah County,Office,0,2967,136.0
4502.0,Utah County,Office,0,2251,136.0
111.72,Utah County,Office,0,57,136.0
111.72,Utah County,Office,0,57,136.0
111.72,Utah County,Office,0,57,136.0
111.72,Utah County,Office,0,57,136.0
268.52,Utah County,Office,0,137,136.0
209.72,Utah County,Office,0,107,136.0
274.4,Utah County,Office,0,140,136.0
5150.52,Utah County,Office,0,4769,41.0
2900.0,Utah County,Industrial,0,2000,53.0
2900.0,Utah County,Industrial,0,2000,53.0
2900.0,Utah County,Industrial,0,2000,53.0
2900.0,Utah County,Industrial,0,2000,53.0
2900.0,Utah County,Industrial,0,2000,53.0
2900.0,Utah County,Industrial,0,2000,53.0
